title,status,proposal_date,categories,party_cleaned
ร่างพระราชบัญญัติภาพยนตร์ พ.ศ. ....,IN_PROGRESS,2025-08-27,วัฒนธรรม,พรรคเพื่อไทย
ร่างพระราชบัญญัติการประกอบธุรกิจข้อมูลเครดิต (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-10-10,เศรษฐกิจ,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติการขนส่งทางราง พ.ศ. ....,MERGED,2024-10-08,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติล้มละลาย (ฉบับที่ ..) พ.ศ. ....,MERGED,2024-05-03,เศรษฐกิจ,พรรคเพื่อไทย
พระราชบัญญัติอำนาจเรียกของคณะกรรมาธิการของสภาผู้แทนราษฎรและวุฒิสภา พ.ศ. ....,MERGED,2024-04-18,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติการบริหารราชการในสถานการณ์ฉุกเฉิน พ.ศ. ....,IN_PROGRESS,2023-09-21,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติวิธีการงบประมาณ (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2025-09-11,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติการขนส่งทางบก (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2025-09-10,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติป้องกันและปราบปรามการกระทำความผิดร้ายแรงต่อสันติภาพและมนุษยชาติ พ.ศ. ....,IN_PROGRESS,2024-08-14,กระบวนการยุติธรรม,พรรคประชาชน
พระราชบัญญัติควบคุมเครื่องดื่มแอลกอฮอล์ (ฉบับที่ ..) พ.ศ. ....,MERGED,2024-03-11,สาธารณสุข,พรรคเพื่อไทย
ร่างพระราชบัญญัติการจัดสรรที่ดิน (ฉบับที่ ..) พ.ศ. ....,MERGED,2023-09-02,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติอากาศสะอาดเพื่อสิทธิมนุษยชนขั้นพื้นฐาน พ.ศ. ....,MERGED,2023-09-26,สิ่งแวดล้อม,พรรคเพื่อไทย
ร่างพระราชบัญญัติการบริหารจัดการระบบตั๋วร่วม พ.ศ. ....,MERGED,2025-01-22,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติสวนป่า (ฉบับที่ ..) พ.ศ. ....,REJECTED,2025-07-23,สิ่งแวดล้อม,พรรคประชาชน
ร่างพระราชบัญญัติรับราชการทหาร พ.ศ. ....,IN_PROGRESS,2024-02-21,การเมือง,พรรคประชาชน
พระราชบัญญัติคุ้มครองแรงงาน (ฉบับที่ ..) พ.ศ. ....,MERGED,2023-08-24,แรงงาน,พรรคประชาชน
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมพระราชกำหนดการประมง พ.ศ. 2558 พ.ศ. ....,MERGED,2023-09-20,สิ่งแวดล้อม,พรรคเพื่อไทย
ร่างพระราชบัญญัติคุ้มครองแรงงาน (ฉบับที่ ..) พ.ศ. ....,REJECTED,2023-08-24,แรงงาน,พรรคประชาชน
ร่างพระราชบัญญัติภาษีที่ดินรวมแปลง พ.ศ. ....,REJECTED,2023-08-24,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติบำนาญพื้นฐานถ้วนหน้า พ.ศ. ....,REJECTED,2023-08-24,สวัสดิการ,พรรคประชาชน
พระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายแพ่งและพาณิชย์ (ฉบับที่ 24) พ.ศ. 2567,MERGED,2023-08-09,กระบวนการยุติธรรม,พรรคประชาชน
ร่างพระราชบัญญัติภาษีที่ดินและสิ่งปลูกสร้าง (ฉบับที่ ..) พ.ศ. ....,REJECTED,2023-08-24,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติว่าด้วยการเวนคืนและการได้มาซึ่งอสังหาริมทรัพย์ (ฉบับที่..) พ.ศ. ....,REJECTED,2023-08-09,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติข้อมูลข่าวสารสาธารณะ พ.ศ. ....,IN_PROGRESS,2023-08-09,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมพระราชกำหนดการประมง พ.ศ. 2558 พ.ศ. ....,MERGED,2023-08-24,สิ่งแวดล้อม,พรรคประชาชน
ร่างพระราชบัญญัติภาษีความมั่งคั่ง พ.ศ. ....,REJECTED,2023-08-24,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติการรับรองเพศ คำนำหน้านาม และการคุ้มครองบุคคลผู้มีความหลากหลายทางเพศ พ.ศ. ....,REJECTED,2023-08-09,สวัสดิการ,พรรคประชาชน
ร่างพระราชบัญญัติส่งเสริมการลดก๊าซเรือนกระจกและคาร์บอนเครดิต พ.ศ. ....,IN_PROGRESS,2024-03-21,สิ่งแวดล้อม,พรรคพลังประชารัฐ
ร่างพระราชบัญญัติส่งเสริมการลดก๊าซเรือนกระจกและคาร์บอนเครดิต พ.ศ. ....,IN_PROGRESS,2024-03-21,สิ่งแวดล้อม,พรรคพลังประชารัฐ
ร่างพระราชบัญญัติกำหนดแผนและขั้นตอนการกระจายอำนาจให้แก่องค์กรปกครองส่วนท้องถิ่น (ฉบับที่ ..) พ.ศ. ....,REJECTED,2023-08-09,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติการศึกษาแห่งชาติ พ.ศ. ....,IN_PROGRESS,2025-01-15,การศึกษา,พรรคประชาชน
ร่างพระราชบัญญัติส่งเสริมและคุ้มครองกลุ่มชาติพันธุ์และชนเผ่าพื้นเมือง พ.ศ. ....,MERGED,2023-08-09,วัฒนธรรม,พรรคประชาชน
ร่างพระราชบัญญัติถนน พ.ศ. ....,REJECTED,2023-07-12,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติการขนส่งทางบก (ฉบับที่ ..) พ.ศ. ....,REJECTED,2023-07-12,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติยกเลิกประกาศคณะรักษาความสงบแห่งชาติและคำสั่งหัวหน้าคณะรักษาความสงบแห่งชาติ พ.ศ. ....,MERGED,2023-07-21,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติการอำนวยความสะดวกในการพิจารณาอนุญาตและการให้บริการแก่ประชาชน พ.ศ. ....,MERGED,2023-08-09,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติการปฏิรูปที่ดินเพื่อเกษตรกรรม (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2025-03-19,เศรษฐกิจ,พรรคเพื่อไทย
ร่างพระราชบัญญัติยกเลิกพระราชบัญญัติการรักษาความมั่นคงภายในราชอาณาจักร พ.ศ. 2551 พ.ศ. ....,REJECTED,2023-07-12,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติการแข่งขันทางการค้า (ฉบับที่..) พ.ศ. ....,MERGED,2023-08-03,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติองค์กรจัดสรรคลื่นความถี่และกำกับการประกอบกิจการวิทยุกระจายเสียง วิทยุโทรทัศน์ และกิจการโทรคมนาคม (ฉบับที่ ..) พ.ศ. ....,MERGED,2025-03-19,เศรษฐกิจ,พรรคเพื่อไทย
ร่างพระราชบัญญัติจัดระเบียบราชการกระทรวงกลาโหม (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2023-07-12,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติโรงแรมและสถานที่พักค้างคืน พ.ศ. ....,IN_PROGRESS,2025-03-13,เศรษฐกิจ,พรรคประชาชน
"ร่างพระราชบัญญัติองค์กรจัดสรรคลื่นความถี่และกำกับการประกอบกิจการวิทยุกระจายเสียง วิทยุโทรทัศน์ 
และกิจการโทรคมนาคม (ฉบับที่ ..) พ.ศ. ....",IN_PROGRESS,2025-03-19,เศรษฐกิจ,พรรคเพื่อไทย
ร่างพระราชบัญญัติการแข่งขันทางการค้า (ฉบับที่..) พ.ศ. ....,IN_PROGRESS,2023-07-21,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติรับราชการทหาร พ.ศ. ....,REJECTED,2023-07-12,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติคุ้มครองและส่งเสริมวิถีชีวิตกลุ่มชาติพันธุ์ พ.ศ. ....,MERGED,2024-02-01,วัฒนธรรม,พรรคเพื่อไทย
ร่างพระราชบัญญัติภาษีสรรพสามิต (ฉบับที่..) พ.ศ. ....,REJECTED,2023-07-12,เศรษฐกิจ,พรรคประชาชน
พระราชบัญญัติว่าด้วยการออกเสียงประชามติ (ฉบับที่ ..) พ.ศ. ....,MERGED,2024-01-30,การเมือง,พรรคเพื่อไทย
ร่างพระราชบัญญัติวินัยการเงินการคลังของรัฐ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2023-07-12,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติการศึกษาแห่งชาติ พ.ศ. ....,IN_PROGRESS,2024-10-25,การศึกษา,พรรคเพื่อไทย
ร่างพระราชบัญญัติเทศบาล (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-10-24,การเมือง,พรรคท้องที่ไทย
ร่างพระราชบัญญัติเทศบาล (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-10-24,การเมือง,พรรคกล้าธรรม
ร่างพระราชบัญญัติลักษณะปกครองท้องที่ (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-10-24,การเมือง,พรรคท้องที่ไทย
ร่างพระราชบัญญัติลักษณะปกครองท้องที่ (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-10-24,การเมือง,พรรคกล้าธรรม
"ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายอาญา (ฉบับที่ ..) พ.ศ. .... 
(แก้ไขเพิ่มเติมเงื่อนไขการฟ้องคดีอาญา)",IN_PROGRESS,2025-10-22,กระบวนการยุติธรรม,พรรคประชาชน
"ร่างพระราชบัญญัติยกเว้นความผิดให้แก่บุคคลที่ได้รับความเสียหายหรือได้รับผลกระทบ
จากการดำเนินการตามนโยบายของรัฐด้านป่าไม้และที่ดิน พ.ศ. ....",IN_PROGRESS,2024-09-05,สิ่งแวดล้อม,พรรคประชาชาติ
"ร่างพระราชบัญญัติยกเว้นความผิดให้แก่บุคคลที่ได้รับความเสียหายหรือได้รับผลกระทบ
จากการดำเนินการตามนโยบายของรัฐด้านป่าไม้และที่ดิน พ.ศ. ....",IN_PROGRESS,2024-09-05,สิ่งแวดล้อม,พรรคประชาชาติ
ร่างพระราชบัญญัติเลื่อนใช้พระราชบัญญัติภาษีที่ดินและสิ่งปลูกสร้าง พ.ศ. 2562 พ.ศ. ....,REJECTED,2020-01-08,เศรษฐกิจ,พรรคภูมิใจไทย
พระราชบัญญัติแก้ไขเพิ่มเติมคำสั่งหัวหน้าคณะรักษาความสงบแห่งชาติ ที่ 19/2560 เรื่อง การปฏิรูปการศึกษาในภูมิภาคของกระทรวงศึกษาธิการ ลงวันที่ 3 เมษายน พุทธศักราช 2560 พ.ศ. 2565,MERGED,2021-01-28,การศึกษา,พรรคภูมิใจไทย
ร่างพระราชบัญญัติตำรวจแห่งชาติ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2020-02-13,กระบวนการยุติธรรม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติตำรวจแห่งชาติ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2020-01-31,กระบวนการยุติธรรม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติคณะกรรมการการออมเพื่อการเกษียณแห่งชาติ พ.ศ. ....,REJECTED,2020-02-05,สวัสดิการ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติระเบียบบริหารราชการกรุงเทพมหานคร (ฉบับที่ ..) พ.ศ. ....,REJECTED,2019-09-30,การเมือง,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติสร้างเสริมสังคมสันติสุข พ.ศ. ....,REJECTED,2022-12-22,การเมือง,พรรคพลังธรรมใหม่
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายอาญา (ฉบับที่ ..) พ.ศ. ....,REJECTED,2022-12-21,กระบวนการยุติธรรม,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติอากาศสะอาดเพื่อประชาชน พ.ศ. ....,REJECTED,2021-12-22,สิ่งแวดล้อม,พรรคพลังประชารัฐ
ร่างพระราชบัญญัติที่ราชพัสดุ พ.ศ. ....,REJECTED,2023-02-28,เศรษฐกิจ,พรรคประชาชาติ
ร่างพระราชบัญญัติที่ราชพัสดุ พ.ศ. ....,REJECTED,2023-02-28,เศรษฐกิจ,พรรคประชาชาติ
ร่างพระราชบัญญัติพืชควบคุมเพื่อประโยชน์ทางการแพทย์ พ.ศ. ....,REJECTED,2021-01-27,สาธารณสุข,พรรคเพื่อไทย
ร่างพระราชบัญญัติยาเสพติดให้โทษ (ฉบับที่..) พ.ศ. ....,MERGED,2020-02-05,สาธารณสุข,พรรคพลังประชารัฐ
ร่างพระราชบัญญัติกองทุนสำรองเลี้ยงชีพ (ฉบับที่ ..) พ.ศ. .....,REJECTED,2020-02-05,สวัสดิการ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายอาญา (ฉบับที่ ..) พ.ศ. ....,REJECTED,2021-11-16,กระบวนการยุติธรรม,พรรคประชาชน
ร่างพระราชบัญญัติการบริหารงานและการให้บริการภาครัฐผ่านระบบดิจิทัล (ฉบับที่ ..) พ.ศ. ....,REJECTED,2022-01-27,อื่นๆ,พรรคประชาชน
ร่างพระราชบัญญัติบัตรประจำตัวประชาชน (ฉบับที่ ..) พ.ศ. ....,REJECTED,2021-11-03,การเมือง,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติการจัดสรรที่ดิน (ฉบับที่ ..) พ.ศ. ....,REJECTED,2020-08-27,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติยกเลิกคำสั่งหัวหน้าคณะรักษาความสงบแห่งชาติ ที่ 8/2560 เรื่อง การขับเคลื่อนการปฏิรูปการบริหารงานส่วนบุคคลท้องถิ่น ลงวันที่ 21 กุมภาพันธ์ พุทธศักราช 2560 พ.ศ. ....,REJECTED,2022-07-07,การเมือง,พรรคประชาชน
พระราชบัญญัติการเลือกตั้งสมาชิกสภาท้องถิ่นหรือผู้บริหารท้องถิ่น (ฉบับที่ ..) พ.ศ. ....,ENACTED,2021-10-18,การเมือง,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติสวัสดิการและสิทธิประโยชน์อย่างอื่นของสมาชิกสภาท้องถิ่น พ.ศ. ....,REJECTED,2022-06-30,สวัสดิการ,พรรคพลังท้องถิ่นไท
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมคำสั่งหัวหน้าคณะรักษาความสงบแห่งชาติ ที่ 16/2560 เรื่อง การบริหารงานบุคคลของข้าราชการครูและบุคลากรทางการศึกษา ลงวันที่ 21 มีนาคม พุทธศักราช 2560 พ.ศ. ....,REJECTED,2022-06-16,การศึกษา,พรรคประชาชน
ร่างพระราชบัญญัติส่งเสริมและคุ้มครองกลุ่มชาติพันธุ์ พ.ศ. ....,REJECTED,2021-08-23,วัฒนธรรม,พรรคเพื่อไทย
"ร่างพระราชบัญญัติแก้ไขเพิ่มเติมคำสั่งหัวหน้าคณะรักษาความสงบแห่งชาติ ที่ 7/2558 เรื่อง การปฏิบัติหน้าที่ของคณะกรรมการคุรุสภา คณะกรรมการส่งเสริม
สวัสดิการและสวัสดิภาพครูและบุคลากรทางการศึกษา และคณะกรรมการบริหารองค์การค้าของสำนักงานคณะกรรมการส่งเสริมสวัสดิการและสวัสดิภาพครูและ
บุคลากรทางการศึกษา วันที่ 16 เมษายน พุทธศักราช 2558 คำสัั่งหัวหน้าคณะรักษาความสงบแห่งชาติ ที่ 17/2560 เรื่อง แก้ไขเพิ่มเติมคำสั่งหัวหน้าคณะรักษา
ความสงบแห่งชาติ ที่ 7/2558 ลงวันที่ 21 มีนาคม พุทธศักราช 2560 และ คำสั่งหัวหน้าคณะรักษาความสงบแห่งชาติสภาครูและบุคลากรทางการศึกษา
ลงวันที่ 25 กรกฎาคม พุทธศักราช 2561 พ.ศ. ....",IN_PROGRESS,2022-06-23,การศึกษา,พรรคประชาชน
ร่างพระราชปัญญัติป่าสงวนแห่งชาติ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2023-02-09,สิ่งแวดล้อม,พรรคประชาชาติ
ร่างพระราชปัญญัติป่าสงวนแห่งชาติ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2023-02-09,สิ่งแวดล้อม,พรรคประชาชาติ
ร่างพระราชบัญญัติวิธีการงบประมาณ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2021-02-03,เศรษฐกิจ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติกองทุนการออมแห่งชาติ (ฉบับที่..) พ.ศ. ....,REJECTED,2020-01-29,สวัสดิการ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติอุปถัมภ์และส่งเสริมพระพุทธศาสนาแห่งชาติ พ.ศ. ....,REJECTED,2020-02-05,วัฒนธรรม,พรรคเสรีรวมไทย
ร่างพระราชบัญญัติปาล์มน้ำมันและผลิตภัณฑ์จากปาล์มน้ำมัน พ.ศ. ....,REJECTED,2019-08-22,เศรษฐกิจ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติระเบียบบริหารราชการกระทรวงศึกษาธิการ พ.ศ. ....,REJECTED,2021-07-19,การศึกษา,พรรคประชาชน
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายอาญา (ฉบับที่ ..) พ.ศ. ....,MERGED,2020-12-17,กระบวนการยุติธรรม,พรรคประชาชน
ร่างพระราชบัญญัติปาล์มน้ำมันและผลิตภัณฑ์จากปาล์มน้ำมัน พ.ศ. ....,REJECTED,2022-12-27,เศรษฐกิจ,พรรคพลังประชารัฐ
ร่างพระราชบัญญัติการจัดสรรที่ดิน (ฉบับที่ ..) พ.ศ. ....,REJECTED,2022-06-21,เศรษฐกิจ,พรรคพลังท้องถิ่นไท
ร่างพระราชบัญญัติการจัดสรรที่ดิน (ฉบับที่ ..) พ.ศ. ....,REJECTED,2022-06-21,เศรษฐกิจ,พรรคพลังท้องถิ่นไท
ร่างพระราชบัญญัติลิขสิทธิ์ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2022-12-22,เศรษฐกิจ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายแพ่งและพาณิชย์ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2020-12-03,กระบวนการยุติธรรม,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติป้องกันการกระทำความผิดซ้ำของผู้กระทำความผิดอุกฉกรรจ์ที่ใช้ความรุนแรง พ.ศ. ....,MERGED,2021-07-14,กระบวนการยุติธรรม,พรรคพลังประชารัฐ
ร่างพระราชบัญญัติองค์กรจัดสรรคลื่นความถี่และกำกับการประกอบกิจการวิทยุกระจายเสียง วิทยุโทรทัศน์ และกิจการโทรคมนาคม (ฉบับที่ ..) พ.ศ. ....,REJECTED,2022-12-14,เศรษฐกิจ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติพืชควบคุมเพื่อประโยชน์ทางการแพทย์ พ.ศ. ....,IN_PROGRESS,2020-11-27,สาธารณสุข,พรรคเพื่อไทย
ร่างพระราชบัญญัติยกเลิกคำสั่งหัวหน้าคณะรักษาความสงบแห่งชาติ ที่ 8/2560 เรื่อง การขับเคลื่อนการปฏิรูปการบริหารงานส่วนบุคคลท้องถิ่น ลงวันที่ 21 กุมภาพันธ์ พุทธศักราช 2560 พ.ศ. ....,REJECTED,2022-06-09,การเมือง,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติสภาครูและบุคลากรทางการศึกษา (ฉบับที่ ..) พ.ศ. ....,REJECTED,2021-06-18,การศึกษา,พรรคประชาชน
ร่างพระราชบัญญัติประกันชีวิต (ฉบับที่ ..) พ.ศ. ....,REJECTED,2022-11-09,เศรษฐกิจ,พรรคประชาชน
พระราชบัญญัติการเลือกตั้งสมาชิกสภาท้องถิ่นหรือผู้บริหารท้องถิ่น (ฉบับที่ ..) พ.ศ. ....,MERGED,2022-06-01,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติปาล์มน้ำมันและผลิตภัณฑ์จากปาล์มน้ำมัน พ.ศ. ....,REJECTED,2022-11-03,เศรษฐกิจ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติระเบียบข้าราชการครู พ.ศ. ....,REJECTED,2021-06-18,การศึกษา,พรรคประชาชน
ร่างพระราชบัญญัติกัญชา กัญชง พ.ศ. ....,REJECTED,2022-06-01,สาธารณสุข,พรรคประชาชน
ร่างพระราชบัญญัติระเบียบบริหาราชการนครสมุย พ.ศ. ....,REJECTED,2022-05-31,การเมือง,พรรคภูมิใจไทย
ร่างพระราชบัญญัติระเบียบบริหารราชการกระทรวงศึกษาธิการ พ.ศ. ....,REJECTED,2021-06-18,การศึกษา,พรรคประชาชน
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายอาญา (ฉบับที่ ..) พ.ศ. .... (กำหนดความผิดฐานกระทำชำเราของพระภิกษุในพระพุทธศาสนา (เพิ่มมาตรา 206/1)),REJECTED,2022-05-31,กระบวนการยุติธรรม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติส่งเสริมและรักษาคุณภาพสิ่งแวดล้อมแห่งชาติ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2022-01-26,สิ่งแวดล้อม,พรรคประชาชน
ร่างพระราชบัญญัติการเข้าชื่อเสนอข้อบัญญัติท้องถิ่น พ.ศ. ....,MERGED,2021-01-27,การเมือง,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติคณะกรรมการการออมเพื่อการเกษียณแห่งชาติ พ.ศ. ....,IN_PROGRESS,2020-01-29,สวัสดิการ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติปาล์มน้ำมันและผลิตภัณฑ์จากปาล์มน้ำมัน พ.ศ. ....,REJECTED,2019-09-13,เศรษฐกิจ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติกำหนดแผนและขั้นตอนการกระจายอำนาจให้แก่องค์กรปกครองส่วนท้องถิ่น (ฉบับที่ ..) พ.ศ. ....,REJECTED,2022-05-30,การเมือง,พรรคพลังท้องถิ่นไท
ร่างพระราชบัญญัติกำหนดแผนและขั้นตอนการกระจายอำนาจให้แก่องค์กรปกครองส่วนท้องถิ่น (ฉบับที่ ..) พ.ศ. ....,REJECTED,2022-05-30,การเมือง,พรรคพลังท้องถิ่นไท
ร่างพระราชบัญญัติข้อมูลข่าวสารสาธารณะ พ.ศ. ....,REJECTED,2020-09-18,การเมือง,พรรคประชาชน
ร่างพระราชบัญญัติกัญชา กัญชง พ.ศ. ....,REJECTED,2022-05-27,สาธารณสุข,พรรคประชาชน
ร่างพระราชบัญญัติการพนัน (ฉบับที่ ..) พ.ศ. ....,REJECTED,2022-05-18,เศรษฐกิจ,พรรคพลังท้องถิ่นไท
ร่างพระราชบัญญัติการพนัน (ฉบับที่ ..) พ.ศ. ....,REJECTED,2022-05-18,เศรษฐกิจ,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติการพนัน (ฉบับที่ ..) พ.ศ. ....,REJECTED,2022-05-18,เศรษฐกิจ,พรรคพลังท้องถิ่นไท
ร่างพระราชบัญญัติการรายงานการปล่อยและการเคลื่อนย้ายสารมลพิษสู่สิ่งแวดล้อม พ.ศ. ....,REJECTED,2020-12-16,สิ่งแวดล้อม,พรรคประชาชน
ร่างพระราชบัญญัติสภาวิสาหกิจขนาดกลาง ขนาดย่อม และขนาดย่อยไทย พ.ศ. ....,REJECTED,2019-09-17,เศรษฐกิจ,พรรคเพื่อไทย
ร่างพระราชบัญัติจราจรทางบก (ฉบับที่ .) พ.ศ. ....,REJECTED,2022-02-25,กระบวนการยุติธรรม,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติเขตพัฒนาพื้นที่ีระเบียงเศรษฐกิจภาคใต้ พ.ศ. ....,IN_PROGRESS,2020-11-26,เศรษฐกิจ,พรรคพลังท้องถิ่นไท
ร่างพระราชบัญญัติธนาคารพุทธแห่งประเทศไทย พ.ศ. ....,REJECTED,2022-08-31,เศรษฐกิจ,พรรคเสรีรวมไทย
ร่างพระราชบัญญัติลักษณะปกครองท้องที่ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2022-02-03,การเมือง,พรรคครูไทยเพื่อประชาชน
ร่างพระราชบัญญัติลักษณะปกครองท้องที่ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2022-02-03,การเมือง,พรรคกล้าธรรม
ร่างพระราชบัญญัติลักษณะปกครองท้องที่ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2022-02-03,การเมือง,พรรคครูไทยเพื่อประชาชน
ร่างพระราชบัญญัติยกเลิกพระราชบัญญัติว่าด้วยความผิดอันเกิดจากการใช้เช็ค พ.ศ. 2534 พ.ศ. ....,REJECTED,2023-02-07,กระบวนการยุติธรรม,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติสวัสดิการรักษาพยาบาล การศึกษา และสวัสดิการประชาชน พ.ศ. ....,REJECTED,2022-01-21,สวัสดิการ,พรรคภูมิใจไทย
พระราชบัญญัติกองทุนเงินให้กู้ยืมเพื่อการศึกษา (ฉบับที่ ..) พ.ศ. ....,MERGED,2022-01-18,การศึกษา,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติวิชาชีพการสัตวบาล พ.ศ. ....,IN_PROGRESS,2021-01-27,อื่นๆ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติการเข้าชื่อเพื่อถอดถอนสมาชิกสภาท้องถิ่นหรือผู้บริหารท้องถิ่น พ.ศ. ....,MERGED,2021-01-27,การเมือง,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติกองทุนสำรองเลี้ยงชีพ (ฉบับที่..)  พ.ศ. ....,IN_PROGRESS,2020-01-29,สวัสดิการ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติป้องกันและต่อต้านการรัฐประหาร พ.ศ. ....,IN_PROGRESS,2020-01-29,การเมือง,พรรคเพื่อไทย
พระราชบัญญัติอ้อยและน้ำตาลทราย (ฉบับที่ ..) พ.ศ. ....,MERGED,2020-10-08,เศรษฐกิจ,พรรคประชาธิปไตยใหม่
พระราชบัญญัติอ้อยและน้ำตาลทราย (ฉบับที่ ..) พ.ศ. ....,MERGED,2020-10-08,เศรษฐกิจ,พรรคประชาธิปไตยใหม่
ร่างพระราชบัญญัติว่าด้วยการเวนคืนและการได้มาซึ่งอสังหาริมทรัพย์ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2022-08-04,เศรษฐกิจ,พรรคประชาชน
พระราชบัญญัติการเลือกตั้งสมาชิกสภาท้องถิ่นหรือผู้บริหารท้องถิ่น (ฉบับที่ ..) พ.ศ. ....,MERGED,2022-02-09,การเมือง,พรรคเพื่อไทย
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลรัษฎากร (ฉบับที่ ..) พ.ศ. ....,REJECTED,2022-06-29,เศรษฐกิจ,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติยาเสพติดให้โทษ (ฉบับที่ ..) พ.ศ. ....,MERGED,2020-08-19,กระบวนการยุติธรรม,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติระเบียบข้าราชการสาธารณสุขและบุคลากรสาธารณสุข พ.ศ. ....,REJECTED,2020-08-20,สาธารณสุข,พรรคประชาธิปัตย์
